음식,총가격,인원구성,요일 및 시간,날씨
참치주먹밥,4000,여(54),2023-04-02 16:55:00,눈
"치즈떡볶이, 참치주먹밥, 떡국, 땡초진미김밥",21500,여(12) 여(32) 남(38),2024-02-06 13:11:00,맑음
라볶이,5000,남(48),2024-05-07 06:51:00,맑음
뚝배기불고기,8000,여(33),2024-05-29 16:21:00,비
"날치알김밥, 새우튀김김밥, 새우튀김김밥, 날치알주먹밥",19000,여(28) 여(39) 남(42),2023-06-25 11:25:00,맑음
"생선까스, 치즈라면, 날치알김밥",20000,여(31) 여(43),2023-06-10 20:54:00,맑음
"김치찌개, 새우튀김김밥, 김치라면",17500,남(33) 여(43),2023-09-10 06:28:00,눈
"참치덮밥, 멸추김밥, 날치알주먹밥",16500,남(37) 남(31) 여(34),2023-05-29 01:28:00,흐림
"참치순두부찌개, 돈까스김밥, 치즈돈까스, 참치주먹밥",26000,여(10) 여(59) 남(30),2024-06-12 22:04:00,맑음
"순두부찌개, 새우튀김김밥, 날치알주먹밥, 소고기주먹밥",20000,여(16) 남(19) 남(11),2024-07-10 03:56:00,맑음
"김치찌개, 날치알주먹밥, 된장찌개, 만두국, 소고기주먹밥",29000,여(10) 남(45) 여(45) 여(26),2023-03-27 11:50:00,맑음
"참치순두부찌개, 날치알김밥, 된장찌개",19500,여(46) 남(45) 남(34),2024-02-17 11:58:00,맑음
"참치찌개, 라면",11500,여(54),2024-01-14 18:05:00,맑음
"소고기김밥, 참치주먹밥",9000,남(60),2023-04-21 19:24:00,맑음
"오불덮밥, 날치알김밥, 참치순두부찌개, 잔치국수, 땡초진미김밥",32500,여(40) 여(57) 여(25) 여(38) 남(32),2024-01-09 03:24:00,맑음
"비빔국수, 치즈돈까스",16500,여(43) 남(40),2023-11-06 18:52:00,흐림
"생선까스, 얼큰해물우동",18000,여(36),2024-04-26 22:27:00,맑음
"군만두, 땡초진미김밥, 날치알주먹밥, 참치김밥, 날으는 김밥",21000,남(12) 남(18) 남(57) 여(54),2024-07-04 22:47:00,흐림
얼큰해물우동,8500,남(50),2023-08-21 00:06:00,흐림
"떡볶이, 오뎅, 계란말이김밥, 오징어덮밥, 치즈돈까스",32000,남(37) 여(44) 남(10) 여(42),2023-05-13 13:49:00,흐림
"소고기김밥, 돈까스김밥, 새우볶음밥, 된장찌개, 참치순두부찌개",31500,여(25) 남(31) 여(28) 남(19),2023-12-27 10:44:00,맑음
"멸추김밥, 뚝배기불고기, 쫄면",20000,남(27) 남(17) 여(12),2024-04-26 15:00:00,흐림
"참치순두부찌개, 순두부찌개, 떡라면, 뚝배기불고기, 멸치주먹밥",32000,남(47) 여(22) 남(28) 남(37) 여(10),2023-12-08 16:57:00,눈
"순두부찌개, 치즈라볶이, 고구마돈까스, 순두부찌개",29500,여(29) 남(51) 여(42),2024-04-21 22:07:00,맑음
"날치알주먹밥, 참치순두부찌개, 된장찌개",18500,여(30) 남(57),2023-09-02 15:20:00,흐림
"쫄면, 멸추김밥, 뚝배기불고기, 떡라면, 날치알김밥",30500,여(25) 여(25) 여(47) 남(56),2024-05-20 00:09:00,맑음
"소고기주먹밥, 된장찌개, 라볶이, 참치덮밥, 순두부찌개, 김치볶음밥",37500,여(10) 여(40) 여(59) 남(46) 여(35),2024-03-06 07:58:00,비
"쫄면, 돈까스김밥, 참치주먹밥",16000,여(52) 여(22) 여(48),2024-06-12 02:36:00,맑음
"소고기김밥, 뚝배기불고기, 멸추김밥",18000,남(13) 남(58) 남(54),2023-09-05 17:54:00,맑음
"비빔밥, 날으는 김밥, 참치비빔밥, 만두국, 김치라면",30500,남(50) 여(21) 여(48) 여(41),2024-01-11 00:39:00,흐림
"소고기주먹밥, 참치주먹밥, 김치찌개, 참치와사비김밥, 날치알주먹밥",24000,남(14) 여(17) 여(48) 여(18) 여(24),2024-02-07 20:55:00,눈
"날치알주먹밥, 부대찌개, 육개장, 김치찌개, 날치알주먹밥, 소고기주먹밥",35000,여(32) 남(44) 여(36) 남(55) 여(54),2023-09-06 21:01:00,맑음
"새우튀김김밥, 비빔국수",12000,남(28),2024-09-27 08:42:00,비
김치라면,5500,여(56),2024-03-17 00:50:00,맑음
"날치알주먹밥, 된장찌개, 뚝배기불고기, 순두부찌개",26000,여(13) 남(46) 여(10),2024-03-25 23:26:00,흐림
"땡초진미김밥, 참치와사비김밥, 소고기주먹밥",14000,남(46) 여(52) 남(55),2023-10-14 05:49:00,맑음
"비빔밥, 멸치주먹밥",11000,남(55) 여(50),2023-07-27 14:42:00,맑음
"땡초진미김밥, 날치알주먹밥",9000,여(56),2024-05-30 22:22:00,맑음
"비빔밥, 오므라이스, 참치비빔밥, 소고기주먹밥, 멸추김밥",30500,남(25) 남(39) 남(30) 여(60),2023-11-12 12:30:00,맑음
"날치알김밥, 비빔국수",12000,남(50),2024-06-18 02:13:00,맑음
"돈까스김밥, 군만두, 소고기주먹밥, 김치찌개",20000,여(33) 여(27) 여(27) 여(27),2023-09-06 18:19:00,맑음
"참치순두부찌개, 소고기주먹밥, 김치볶음밥, 콩국수, 돈까스",36000,남(53) 여(52) 여(45) 여(15),2024-08-03 05:34:00,맑음
"육개장, 새우볶음밥, 치즈떡볶이, 새우튀김김밥",25500,남(29) 여(42) 여(13),2023-04-26 10:02:00,눈
"육개장, 쫄면, 멸추김밥, 오징어덮밥, 참치와사비김밥, 제육덮밥",40000,여(58) 여(30) 남(33) 여(48) 남(52),2024-04-05 23:19:00,맑음
"멸추김밥, 고구마돈까스, 멸치주먹밥, 고기만두, 떡만두국, 된장찌개",37500,여(43) 여(58) 남(38) 남(51) 여(30),2023-06-10 17:30:00,눈
"라볶이, 땡초진미김밥, 참치찌개, 치즈라면, 돈까스, 땡초진미김밥",37000,여(11) 여(57) 남(52) 남(20) 남(26),2024-09-19 07:14:00,맑음
"참치와사비김밥, 생선까스, 떡볶이, 비빔국수, 새우볶음밥",33000,여(46) 여(30) 여(18) 여(27) 여(35),2024-02-04 03:52:00,맑음
"소고기김밥, 고기만두",9000,남(16) 남(48),2023-09-01 09:04:00,맑음
"소고기김밥, 날치알주먹밥, 소고기주먹밥, 참치비빔밥, 제육덮밥",27500,남(17) 남(47) 남(35) 여(16),2024-06-29 13:43:00,맑음
계란말이김밥,5500,여(54),2023-11-03 04:16:00,맑음
"김치찌개, 순두부찌개, 얼큰해물라면, 참치주먹밥",26500,남(52) 남(41) 여(33),2023-09-27 05:26:00,맑음
"오뎅, 군만두, 만두국, 멸치주먹밥, 날치알주먹밥",23500,남(33) 여(28) 남(48) 여(37),2023-10-28 01:42:00,맑음
"날으는 김밥, 날치알김밥",8500,여(44) 남(24),2023-05-16 21:41:00,흐림
"된장찌개, 돈까스, 참치주먹밥",20500,남(56) 남(37) 여(43),2024-09-03 12:02:00,맑음
"육개장, 얼큰해물우동, 날치알김밥",21500,여(56) 여(44),2024-01-10 09:13:00,맑음
치즈김밥,4500,여(57),2024-09-27 12:54:00,맑음
"순두부찌개, 날으는 김밥, 소고기주먹밥, 된장찌개",21500,여(23) 여(22) 남(20),2023-04-26 06:49:00,맑음
"오징어덮밥, 소고기김밥, 참치김밥",17500,남(39) 남(59),2023-11-12 05:09:00,맑음
"돈까스김밥, 소고기주먹밥",9000,여(10),2024-04-17 05:05:00,맑음
"콩국수, 김치볶음밥",15000,남(47) 남(33),2023-11-07 16:34:00,흐림
"치즈라면, 콩국수",13500,여(21) 여(20),2023-08-19 19:36:00,눈
"날치알주먹밥, 된장찌개, 치즈떡볶이, 생선까스",26000,여(16) 여(31) 여(58) 여(41),2023-05-27 03:58:00,맑음
"오불덮밥, 참치덮밥, 날치알주먹밥, 참치덮밥",27000,여(17) 남(22) 남(47) 여(28),2024-03-20 05:36:00,맑음
"육개장, 참치비빔밥, 치즈돈까스, 멸치주먹밥, 김치찌개",36000,남(19) 남(36) 여(19) 여(60),2024-07-08 01:54:00,맑음
"날치알주먹밥, 부대찌개, 얼큰해물우동, 소고기주먹밥, 만두라면, 돈까스",39500,여(47) 여(13) 여(39) 남(51) 여(59),2024-09-03 07:10:00,맑음
"김치라면, 멸추김밥",10500,남(17) 남(47),2024-06-02 16:08:00,맑음
"라면, 콩국수, 소고기김밥",17500,여(42) 여(12) 여(14),2023-11-19 12:04:00,맑음
"날으는 김밥, 날으는 김밥",7000,남(38),2023-09-19 15:38:00,맑음
"우동, 김치라면, 떡국, 새우볶음밥, 소고기김밥",30500,여(33) 여(10) 여(13) 남(50),2023-07-18 01:53:00,비
"김치만두, 고기만두",8000,여(17),2024-07-01 01:24:00,비
"참치와사비김밥, 소고기주먹밥",9000,남(16) 여(24),2023-05-23 16:43:00,맑음
날으는 김밥,3500,여(39),2023-11-25 01:41:00,맑음
"날치알김밥, 오징어덮밥, 치즈김밥, 비빔국수",24500,여(26) 남(19) 여(41) 남(60),2023-04-02 17:33:00,비
"김치만두, 멸치주먹밥, 김치볶음밥, 참치와사비김밥, 멸치주먹밥",24000,남(46) 여(56) 여(56) 여(51),2023-08-24 16:36:00,맑음
"오뎅, 떡국",11500,여(46),2023-12-22 01:32:00,비
"부대찌개, 계란말이김밥, 소고기주먹밥",17500,여(59) 남(22),2024-02-18 17:20:00,맑음
"비빔밥, 치즈라면, 김치라면",18000,여(27) 여(56),2024-08-17 05:22:00,맑음
"소고기주먹밥, 멸치주먹밥, 고기만두, 콩국수",20000,남(45) 남(20) 여(19) 남(10),2023-05-25 19:07:00,맑음
"오므라이스, 오뎅, 날치알주먹밥, 멸추김밥, 땡초진미김밥",25500,여(19) 남(47) 남(16) 남(17) 남(30),2023-09-02 10:09:00,맑음
"참치주먹밥, 날치알김밥, 소고기주먹밥",13000,남(55) 남(15),2023-10-01 06:31:00,비
"참치찌개, 라볶이, 쫄면",19000,남(24) 남(32),2024-03-13 18:42:00,맑음
"새우볶음밥, 뚝배기불고기, 소고기주먹밥, 참치순두부찌개",26500,여(17) 남(16) 남(16) 여(15),2024-04-16 13:05:00,맑음
"된장찌개, 땡초진미김밥, 참치비빔밥, 참치와사비김밥, 참치주먹밥, 참치순두부찌개",36000,남(43) 남(28) 여(48) 여(17) 남(18),2024-04-09 21:23:00,눈
"새우튀김김밥, 소고기김밥, 멸치주먹밥, 참치순두부찌개, 고기만두, 참치김밥",30000,남(60) 여(30) 여(46) 여(49) 여(31),2023-05-30 10:24:00,눈
"치즈김밥, 김치라면, 김치볶음밥, 날치알주먹밥, 쫄면, 멸치주먹밥",32000,여(42) 여(12) 여(34) 남(38) 여(21),2024-02-06 05:08:00,흐림
"비빔밥, 비빔국수, 오징어덮밥, 제육덮밥",29000,남(58) 남(27) 남(32) 남(52),2023-05-06 15:46:00,맑음
"참치주먹밥, 참치찌개, 참치덮밥",18500,여(37) 남(51) 남(11),2024-05-17 01:43:00,흐림
"고구마돈까스, 떡국",16500,남(14),2024-06-07 05:17:00,맑음
"오므라이스, 제육덮밥, 멸치주먹밥, 김치찌개",25000,남(26) 남(40) 남(29) 여(59),2024-03-25 10:57:00,흐림
"생선까스, 군만두",13500,여(56) 여(20),2023-09-22 06:23:00,맑음
"날치알주먹밥, 오므라이스, 김치만두, 땡초진미김밥, 치즈김밥, 날으는 김밥",28000,여(30) 남(20) 남(53) 여(21) 남(14),2023-12-12 19:23:00,맑음
"참치찌개, 치즈돈까스, 육개장, 제육덮밥, 새우튀김김밥",36500,남(38) 여(60) 남(36) 여(41) 남(24),2024-06-08 22:13:00,맑음
"날치알주먹밥, 돈까스, 참치주먹밥",17500,여(30) 여(12),2023-09-22 12:29:00,흐림
"순두부찌개, 멸치주먹밥, 김치볶음밥, 참치주먹밥, 날치알주먹밥",26000,여(42) 남(46) 남(17) 여(36) 여(25),2023-05-25 12:18:00,맑음
"생선까스, 계란말이김밥",15000,여(28),2023-12-22 16:10:00,맑음
비빔밥,7000,남(11),2024-08-15 22:37:00,맑음
"떡만두국, 콩국수",16000,여(16),2024-05-12 05:09:00,맑음
"생선까스, 순두부찌개, 순두부찌개, 날으는 김밥, 김치라면",32500,여(16) 남(30) 여(40) 남(50),2024-04-06 09:04:00,비
"김치만두, 돈까스김밥",9000,남(33),2024-06-27 23:08:00,맑음
"비빔밥, 참치김밥, 날치알김밥, 참치주먹밥",20500,남(28) 남(16) 남(36) 남(53),2023-12-09 00:15:00,흐림
"참치주먹밥, 육개장",12000,여(60) 여(48),2024-02-03 01:12:00,맑음
"참치주먹밥, 멸치주먹밥, 멸치주먹밥, 라볶이, 김치찌개",24000,남(37) 남(60) 여(50) 여(20),2023-05-15 15:08:00,맑음
참치주먹밥,4000,남(53),2024-10-20 09:00:00,흐림
"김치찌개, 오므라이스, 뚝배기불고기, 참치순두부찌개",29500,여(46) 여(23) 남(44) 여(28),2023-03-08 13:41:00,맑음
"날치알김밥, 날치알김밥, 군만두, 소고기김밥",19000,남(43) 여(22) 여(42),2024-04-09 00:31:00,맑음
"김치찌개, 참치김밥, 비빔밥",18500,여(44) 여(35) 여(47),2023-06-28 04:00:00,맑음
"참치주먹밥, 치즈라볶이, 오불덮밥, 멸치주먹밥, 된장찌개, 소고기주먹밥",33000,남(55) 남(20) 남(46) 여(31) 남(27),2023-06-15 11:22:00,흐림
"참치주먹밥, 날으는 김밥, 땡초진미김밥",12500,여(38) 남(13) 여(58),2024-03-18 01:51:00,맑음
"김치찌개, 참치김밥, 참치순두부찌개, 참치순두부찌개, 순두부찌개",33500,남(43) 남(54) 여(49) 남(20) 여(11),2024-08-27 15:30:00,맑음
"부대찌개, 멸치주먹밥, 새우볶음밥",19000,여(14) 남(51) 남(42),2023-03-04 02:56:00,맑음
"만두국, 떡라면",12500,여(17),2024-01-01 18:21:00,맑음
"김치라면, 날치알주먹밥",9500,남(54) 남(33),2024-10-09 06:59:00,맑음
김치라면,5500,여(60),2024-09-06 07:10:00,비
"라볶이, 참치순두부찌개, 참치덮밥, 떡국, 날치알주먹밥, 오뎅",35500,남(15) 여(18) 남(24) 남(47) 남(54),2023-05-25 20:15:00,맑음
"참치찌개, 참치와사비김밥, 부대찌개, 오불덮밥, 참치찌개",35000,여(32) 남(13) 여(59) 여(24),2024-08-09 08:06:00,맑음
"참치찌개, 참치비빔밥, 새우튀김김밥",19500,여(27) 남(21) 남(19),2023-06-28 23:31:00,맑음
"참치덮밥, 멸추김밥",12500,남(53) 남(45),2024-07-20 02:47:00,맑음
"고기만두, 치즈라면, 김치찌개",16500,남(32) 남(19),2023-03-25 02:55:00,눈
"멸치주먹밥, 뚝배기불고기, 소고기주먹밥",16000,남(17) 남(36) 남(19),2023-05-27 18:45:00,비
부대찌개,8000,여(18),2024-09-12 05:00:00,맑음
"오므라이스, 만두라면, 순두부찌개, 땡초진미김밥",24500,남(49) 남(24) 여(57),2024-06-06 06:44:00,맑음
"날치알주먹밥, 날으는 김밥",7500,여(47),2024-02-05 11:18:00,맑음
"부대찌개, 멸치주먹밥",12000,여(43) 여(49),2024-07-27 18:49:00,흐림
"날으는 김밥, 부대찌개, 날치알김밥, 참치덮밥, 만두라면",29500,남(51) 남(19) 여(54) 남(46) 여(41),2024-10-15 00:08:00,눈
"콩국수, 오징어덮밥, 소고기주먹밥, 땡초진미김밥",25000,여(15) 여(10) 남(29),2023-05-23 13:16:00,맑음
"멸치주먹밥, 오불덮밥",12000,남(14) 남(55),2024-08-12 06:22:00,맑음
"돈까스, 소고기주먹밥, 멸치주먹밥, 얼큰해물라면, 오징어덮밥",34000,남(10) 여(48) 여(34) 여(60),2024-09-17 03:12:00,맑음
"참치찌개, 날치알주먹밥, 새우튀김김밥, 참치주먹밥",20000,여(14) 남(12) 여(59),2023-07-19 18:39:00,맑음
땡초진미김밥,5000,여(50),2023-07-03 20:23:00,흐림
"날치알주먹밥, 참치찌개, 오불덮밥, 뚝배기불고기, 소고기주먹밥, 고기만두",35000,남(54) 남(13) 여(28) 여(32) 여(29),2024-10-15 16:56:00,비
"고구마돈까스, 계란말이김밥, 날치알주먹밥, 라볶이",24000,여(25) 남(55) 여(19),2023-06-16 02:05:00,눈
"육개장, 치즈김밥, 비빔밥, 김치볶음밥, 콩국수",34500,여(56) 남(13) 남(22) 여(26) 여(30),2024-05-11 15:08:00,맑음
"치즈돈까스, 날으는 김밥, 날치알주먹밥, 된장찌개, 멸치주먹밥",28000,남(58) 여(51) 남(45) 여(10) 여(53),2024-03-11 04:39:00,맑음
"비빔밥, 쫄면, 소고기주먹밥",18000,여(50) 여(38) 여(30),2024-06-07 02:55:00,비
"멸치주먹밥, 생선까스, 치즈라면",19000,남(28) 여(39) 남(55),2023-07-12 23:35:00,맑음
"비빔밥, 계란말이김밥, 군만두",16500,여(31) 여(11) 여(33),2023-03-30 16:08:00,비
"소고기김밥, 김치볶음밥, 멸치주먹밥",16000,여(38) 남(36) 남(46),2023-12-30 06:39:00,맑음
"만두라면, 순두부찌개, 멸치주먹밥, 쫄면",23500,남(42) 남(16) 남(57),2024-04-30 00:48:00,비
"치즈김밥, 참치김밥, 김치찌개",16000,여(14) 여(38),2023-07-05 08:10:00,맑음
"새우볶음밥, 참치와사비김밥, 오므라이스, 돈까스김밥, 참치덮밥, 참치김밥",36000,여(50) 여(31) 여(50) 여(24) 여(45),2023-07-29 08:25:00,맑음
"콩국수, 소고기주먹밥, 새우튀김김밥",17000,여(54) 남(34) 남(20),2024-02-29 11:31:00,흐림
"날으는 김밥, 멸치주먹밥, 오므라이스, 육개장, 육개장, 새우볶음밥",37500,여(44) 남(45) 여(39) 남(38) 남(11),2023-03-02 08:09:00,맑음
"순두부찌개, 참치찌개, 참치와사비김밥, 참치덮밥, 멸치주먹밥",30500,남(35) 남(47) 남(36) 남(14) 남(57),2024-03-25 12:02:00,비
참치비빔밥,7500,여(30),2024-10-19 03:55:00,눈
참치찌개,7000,남(12),2023-10-03 07:08:00,맑음
"치즈돈까스, 얼큰해물우동, 순두부찌개, 참치주먹밥, 참치주먹밥",33000,여(13) 여(12) 남(49) 남(36),2023-04-30 23:56:00,맑음
비빔국수,7000,여(27),2023-12-25 06:48:00,맑음
"라볶이, 부대찌개",13000,남(20) 남(18),2024-10-11 14:55:00,눈
"라면, 참치주먹밥, 땡초진미김밥, 치즈라볶이, 치즈떡볶이, 비빔국수",32000,남(33) 남(46) 여(27) 여(27) 여(49),2023-03-06 13:45:00,맑음
"김치라면, 부대찌개, 땡초진미김밥",18500,남(49) 여(55),2024-08-16 22:31:00,맑음
"참치찌개, 돈까스김밥",12000,여(17),2024-05-03 00:46:00,비
"땡초진미김밥, 라볶이, 멸치주먹밥, 라볶이",19000,여(42) 남(33) 여(55),2024-05-07 02:34:00,맑음
"오뎅, 치즈라볶이, 순두부찌개, 오불덮밥",25500,여(40) 여(37) 여(43),2024-07-29 13:18:00,흐림
"돈까스, 멸치주먹밥, 만두국",20500,여(43) 여(23) 여(28),2024-09-26 15:29:00,맑음
"오뎅, 참치비빔밥, 멸추김밥",17000,여(29) 여(31),2024-02-28 21:14:00,맑음
"부대찌개, 소고기주먹밥",12000,남(29),2023-11-10 05:05:00,맑음
참치비빔밥,7500,남(31),2024-02-16 10:47:00,맑음
"쫄면, 생선까스, 오징어덮밥",24500,여(31) 남(60) 여(58),2024-10-31 18:17:00,맑음
"참치순두부찌개, 참치순두부찌개, 치즈라볶이, 돈까스김밥, 만두라면",31500,남(16) 남(24) 남(17) 여(36),2023-12-22 08:43:00,맑음
"새우볶음밥, 참치비빔밥, 날치알주먹밥, 소고기주먹밥, 된장찌개, 군만두",33500,여(58) 여(19) 여(10) 남(59) 여(59),2024-01-26 10:50:00,흐림
"돈까스김밥, 김치볶음밥, 치즈돈까스, 소고기주먹밥, 제육덮밥",32500,여(32) 남(41) 여(27) 여(23),2023-06-19 07:59:00,맑음
"순두부찌개, 떡국, 계란말이김밥",19500,여(52) 남(54) 여(18),2023-06-03 22:26:00,맑음
"김치찌개, 돈까스김밥, 치즈라면, 소고기주먹밥, 돈까스김밥",26500,여(52) 남(47) 남(14) 남(52),2024-03-20 02:58:00,맑음
"땡초진미김밥, 땡초진미김밥, 날으는 김밥",13500,여(53) 남(11) 남(35),2024-04-02 05:44:00,흐림
"오뎅, 육개장, 참치비빔밥, 참치와사비김밥",25000,여(43) 남(10) 여(23) 남(27),2024-05-29 17:34:00,흐림
"콩국수, 참치주먹밥, 치즈김밥, 참치주먹밥, 부대찌개",28500,여(32) 남(41) 여(33) 남(54) 여(24),2023-05-29 09:49:00,흐림
"콩국수, 참치주먹밥, 멸치주먹밥, 얼큰해물라면",24500,여(60) 여(41) 여(54),2023-07-25 11:27:00,흐림
"참치김밥, 생선까스, 부대찌개",22000,여(49) 여(19),2023-11-26 17:38:00,맑음
"참치주먹밥, 얼큰해물라면, 오뎅",17000,남(35) 남(13) 여(22),2024-01-21 10:50:00,맑음
"소고기주먹밥, 날치알김밥, 생선까스",18500,남(56) 여(17) 여(38),2023-11-26 14:48:00,비
"오뎅, 참치주먹밥, 참치덮밥, 육개장, 소고기주먹밥",28000,여(53) 여(38) 여(48) 남(21),2024-06-19 20:23:00,맑음
"라볶이, 뚝배기불고기, 참치주먹밥, 치즈돈까스",26500,남(17) 남(55) 여(10) 남(37),2023-09-16 01:01:00,눈
"콩국수, 참치비빔밥, 오므라이스, 치즈김밥, 육개장",35000,남(60) 남(58) 여(57) 여(33),2023-09-26 06:38:00,맑음
"소고기주먹밥, 순두부찌개, 계란말이김밥, 날치알주먹밥, 날치알주먹밥, 오불덮밥",32500,남(42) 여(54) 남(51) 여(44) 남(15),2023-09-17 00:43:00,맑음
"소고기주먹밥, 제육덮밥, 치즈떡볶이, 오뎅, 참치찌개",28000,여(46) 남(30) 여(60) 여(36),2024-01-27 12:12:00,맑음
"계란말이김밥, 참치주먹밥, 소고기주먹밥, 참치와사비김밥, 치즈돈까스",28000,여(17) 여(23) 여(22) 남(22) 여(30),2024-01-01 23:03:00,맑음
"돈까스, 날으는 김밥, 치즈김밥, 콩국수, 부대찌개",33500,여(45) 여(53) 남(51) 여(44),2023-07-26 17:13:00,눈
멸추김밥,5000,남(28),2023-08-26 13:28:00,맑음
"뚝배기불고기, 소고기주먹밥, 우동, 참치순두부찌개",25500,남(19) 여(16) 남(21) 여(45),2024-04-30 04:46:00,맑음
"날치알김밥, 날치알주먹밥, 치즈라볶이",15000,여(52) 남(60) 남(19),2023-08-26 08:43:00,비
얼큰해물라면,8500,남(10),2023-04-28 18:41:00,맑음
순두부찌개,7000,여(21),2023-04-24 11:11:00,맑음
"오불덮밥, 콩국수, 부대찌개, 순두부찌개, 떡국",38000,남(51) 남(24) 여(50) 여(58),2023-10-31 00:16:00,눈
"날치알주먹밥, 뚝배기불고기, 돈까스, 쫄면, 치즈라면, 비빔국수",41000,여(50) 남(44) 여(46) 여(25) 남(24),2023-03-07 10:30:00,눈
"참치와사비김밥, 순두부찌개, 콩국수",20000,남(49) 남(36) 남(34),2023-10-23 12:35:00,맑음
"돈까스김밥, 날치알주먹밥",9000,여(48) 여(12),2024-03-30 10:35:00,맑음
"육개장, 제육덮밥, 날치알김밥",20000,여(58) 남(58),2023-05-15 19:07:00,맑음
"만두국, 떡국",14000,남(42),2024-04-11 03:30:00,맑음
"라면, 새우튀김김밥, 순두부찌개",16500,여(56) 남(21) 여(37),2024-10-29 06:57:00,맑음
"오뎅, 날치알주먹밥, 된장찌개, 김치만두",19500,남(47) 남(10) 남(59) 남(11),2023-12-04 23:17:00,맑음
"소고기주먹밥, 뚝배기불고기, 순두부찌개, 콩국수",27000,여(25) 여(57) 남(37) 여(37),2023-09-25 13:51:00,맑음
"치즈김밥, 소고기주먹밥",8500,여(46) 여(60),2024-03-14 16:53:00,맑음
"고구마돈까스, 오징어덮밥, 멸추김밥, 쫄면, 제육덮밥",36500,남(43) 여(23) 남(25) 남(47) 여(14),2024-10-05 15:53:00,맑음
"제육덮밥, 새우튀김김밥, 땡초진미김밥, 새우튀김김밥, 군만두",26000,여(56) 남(52) 남(12) 여(23),2023-11-05 07:54:00,맑음
"날으는 김밥, 육개장, 참치김밥, 참치주먹밥, 참치순두부찌개",27500,여(29) 남(32) 여(43) 남(19) 여(49),2024-03-28 16:58:00,맑음
"얼큰해물라면, 소고기주먹밥, 치즈라면, 참치주먹밥",22000,남(59) 남(49) 남(24) 남(11),2024-03-25 09:18:00,맑음
"오므라이스, 새우튀김김밥",12000,여(15) 여(58),2024-09-03 21:26:00,맑음
"치즈김밥, 김치찌개",11500,남(15),2023-06-22 10:37:00,맑음
"새우볶음밥, 된장찌개, 참치김밥",18500,여(59) 남(49),2024-01-04 14:48:00,맑음
"제육덮밥, 돈까스, 순두부찌개, 제육덮밥, 콩국수",38500,여(42) 여(35) 여(51) 여(19) 남(50),2024-06-19 03:59:00,맑음
"고구마돈까스, 제육덮밥, 참치김밥, 김치찌개",28000,남(19) 남(50) 남(28) 남(36),2024-07-15 01:36:00,맑음
"날치알주먹밥, 얼큰해물라면",12500,여(41) 여(40),2024-08-14 20:21:00,맑음
"계란말이김밥, 잔치국수, 육개장, 얼큰해물라면, 참치주먹밥, 오므라이스",40000,남(46) 남(21) 남(33) 남(46) 남(13),2024-06-21 00:46:00,맑음
새우볶음밥,7000,여(59),2023-05-31 22:23:00,맑음
"치즈라볶이, 계란말이김밥, 소고기김밥, 참치와사비김밥",21500,여(45) 여(22) 남(22) 남(51),2023-11-08 08:39:00,맑음
"날치알주먹밥, 멸치주먹밥, 참치김밥",12500,여(12) 여(13) 여(15),2024-09-26 06:56:00,눈
"참치비빔밥, 날치알주먹밥, 참치주먹밥, 떡만두국, 비빔밥",30500,여(41) 남(36) 여(59) 남(53),2023-07-23 15:34:00,맑음
"치즈돈까스, 멸치주먹밥",13500,여(40),2023-06-02 05:17:00,맑음
참치주먹밥,4000,남(18),2024-02-27 11:48:00,흐림
새우볶음밥,7000,여(32),2023-07-28 22:16:00,맑음
참치주먹밥,4000,남(46),2024-01-27 20:53:00,흐림
"뚝배기불고기, 참치순두부찌개",15500,남(10),2024-04-11 18:03:00,맑음
"멸치주먹밥, 뚝배기불고기, 참치김밥, 김치라면, 소고기주먹밥",26000,여(31) 여(28) 여(19) 여(27),2024-01-19 02:20:00,맑음
"얼큰해물라면, 김치찌개, 떡볶이, 멸치주먹밥, 멸추김밥",29000,남(55) 여(37) 남(17) 남(42),2023-07-17 06:49:00,맑음
"소고기주먹밥, 참치비빔밥",11500,남(31),2024-06-23 05:43:00,맑음
"부대찌개, 날치알김밥, 라볶이, 참치와사비김밥, 뚝배기불고기",31000,남(13) 여(38) 남(60) 남(58) 남(48),2024-05-19 11:51:00,눈
"땡초진미김밥, 라볶이, 날치알주먹밥, 치즈돈까스, 참치순두부찌개",31000,여(44) 남(56) 여(17) 여(30) 남(37),2023-12-28 07:19:00,흐림
"비빔밥, 라볶이",12000,남(29),2023-08-22 07:09:00,맑음
"참치덮밥, 돈까스, 새우볶음밥, 날치알주먹밥",28000,여(58) 남(57) 여(37),2023-10-20 22:25:00,눈
"소고기김밥, 날치알주먹밥, 제육덮밥, 소고기주먹밥, 오불덮밥, 김치만두",32000,여(42) 남(23) 여(23) 여(37) 여(35),2024-05-25 00:45:00,눈
"김치볶음밥, 날치알주먹밥",11000,여(20) 남(27),2023-08-22 10:29:00,맑음
참치비빔밥,7500,여(12),2024-05-14 03:49:00,맑음
제육덮밥,7000,여(58),2024-01-31 10:03:00,맑음
"돈까스김밥, 땡초진미김밥",10000,남(36),2023-09-26 01:39:00,맑음
"멸추김밥, 소고기김밥, 오므라이스",17000,여(45) 여(11),2024-08-21 12:35:00,맑음
"얼큰해물우동, 치즈떡볶이",14000,남(27) 여(23),2023-10-16 17:12:00,맑음
참치찌개,7000,남(19),2023-03-08 13:29:00,비
