단어,빈도
117대,8
05시,2
1369명,1
VIP석,1
171건,11
535명,13
KS북,4
54건,11
14각,1
34년,11
10평,3
5003번,48
1074가구,3
145.72대,5
169가구,2
88.28대,2
9포인트,2
15포인트,1
13포인트,2
7포인트,1
6포인트,2
3포인트,3
8포인트,1
14포인트,1
1포인트,7
0.1포인트,1
1.0포인트,1
276억,16
A학교,1
9~18세,1
92점,13
545억,2
409억,1
665대,1
000대,4
4법,1
170번,1
80가지,1
118번,6
6~21세,3
49차례,7
887명,5
1034명,3
987명,6
1056명,1
169명,8
1006명,3
292명,12
746명,6
1363명,2
1895명,2
1673명,2
1710명,2
1539명,2
1442명,11
1219명,4
1800명대,2
505명,23
428명,30
426명,7
462명,14
165건,6
759만,2
596건,3
234건,9
605건,1
1335병상,1
42째,1
80종,4
42번,38
S자,5
811건,4
KDB캐피탈,2
2매,1
100여만,5
100여억,1
300여만,8
10폭,2
70여점,2
211번,10
20범,1
2주일,10
200곡,2
4~5시,5
1957년,16
624억,13
7471억,6
315명,21
KOTRA경기지원단,7
DSD그룹,8
2890만,5
1661명,13
1608명,5
1359명,1
302명,11
379명,7
1704명,4
1823명,5
1728명,3
1492명,3
1537명,4
2222명,6
1785명,2
1212명,11
38일,7
1026명,5
4~6학년,5
952만,16
586만,4
10호점,4
12개입,2
1480원,2
A고교,2
10주기,6
923세대,2
7주,23
폴드5,4
플립5,2
274만,5
88점,3
1930~60년대,1
1950년대,16
6점,11
8957만,2
851명,3
277명,16
021명,2
717명,6
8백만,2
4시간가량,11
2012~2019년,1
1998~1999년,1
436면,3
10파전,2
14조,23
1438억,2
519억,3
G마켓,12
346억,8
3111건,1
6145건,1
18차례,3
30번지,4
202가구,3
832가구,3
27가구,7
1476가구,1
415가구,4
478가구,2
305번지,1
747만,29
501억,3
47세,6
2700원,6
199일,2
158일,1
1.5도,6
1189억,9
467억,19
222억,17
150여곳,19
SW중심대학사업,1
6학점,3
SW마이크로융합전공,1
12학점,2
21학점,1
SW융합전공,1
130학점,1
SK쉴더스,3
615곳,3
116회,3
7731명,1
31번,3
26번,12
670번,15
25포,1
1종일,1
246억,6
556억,6
2336억,3
3남,7
676억,1
AI면접,3
A경위,10
BMW차량,1
최대75,4
1147건,2
816건,1
2385건,1
1454건,1
8.07대,3
3.98대,3
18.29대,3
5.79대,3
491가구,6
2561가구,8
057가구,2
15.53대,2
LG디스플레이,20
LCD일반산업단지,2
읽기자료1,1
7634건,2
자료1,1
읽기자료2,1
3058명,8
5~10년,9
자료2,1
1106명,7
1290명,2
279명,7
3176명,1
PA간호사,1
2.5명,12
3.7명,3
1.9명,1
1.5명,3
0.1명,1
22살,3
1120억,1
5427억,1
270여일,1
7809대,3
LG일렉트릭,1
LS산전,2
SK관,7
1448만,5
1186억,3
3890억,1
2030억,2
1780억,4
AI캠퍼스,11
270일,1
1557억,1
8596억,2
7197억,1
3673억,1
447가구,7
579가구,2
945가구,3
SRT고속철도,1
GH비즈앤,9
31분,17
35살,8
251만,10
653만,10
384호실,2
2015~2016년,5
380농가,3
191번,1
216명,16
5남매,9
45마리,1
21점,10
3950원,5
2670억,1
580만,17
3723건,7
1858건,8
1758건,4
1332건,4
1260건,4
1224건,3
1215건,5
711건,8
629건,7
50걸음,1
6720가구,4
2459가구,3
407가구,12
2512가구,12
1138가구,9
1451가구,4
584명,5
466명,6
397명,7
886명,5
999명,2
342명,7
976명,6
814명,2
61만,27
280만,20
32대,14
73곳,10
400여만,8
411개,1
15~65세,1
30여억,5
민선8,4
교육인프라T,8
26여,1
64시간,3
2500평,3
하루250,1
2423억,2
3783억,1
2000그루,3
1325그루,3
585가구,3
118가구,12
80가구,19
189가구,8
71인,2
850가구,6
200여만,13
1001명,2
131명,25
2092만,1
319만,4
116채,2
중2-84,4
42개,21
6710세대,3
2413세대,3
1164세대,5
430세대,8
빅3,4
1승,56
375만,6
374점,4
344점,4
3계단,3
410점,4
2200평,5
3700평,5
21평,3
3800평,6
New이마트,1
1380원,1
5980원,1
QR센싱,2
5000달러,16
721가구,3
12세기,3
N수생,40
1996학년도,2
고3,11
5912명,5
5462명,4
YG엔터테인먼트,14
반도체IT,1
1718명,2
6265명,1
152명,14
15톤,4
761번,1
한성1,11
삼성2,2
4543표,1
3864표,1
초86,1
초12,1
42초,2
초05,2
39초,1
초94,1
초32,1
초48,2
31초,3
금47,1
DB금융그룹,2
13호실,3
103억,15
471만,3
F씨,20
G씨,17
1500리터,1
5483가구,6
2844가구,4
4789가구,2
3307가구,5
162가구,8
1962개,7
84건,16
22개국,11
120곳,7
107번,10
B동물병원,3
D동물용의약품도매상,2
E동물병원,1
442명,15
907명,4
274명,3
278명,6
391곳,1
882명,9
20문항,5
SAY심리상담센터,5
441만,1
1931년,4
36세,6
51권,1
860건,5
누적19,1
9~11월,9
4000여개,5
2종류,8
3179톤,3
830명,8
5060신,4
200인,4
250야드,2
수원11,4
8~10명,2
34분,4
106건,8
1079건,2
1431건,3
217건,6
6살,17
825명,2
2~4개월,7
11~13개월,6
덕평IC,6
390명,9
20자,7
4행,3
3남매,6
3200주,3
1545억,1
20여종,5
1925만,1
97건,14
88억,28
800여가구,1
4220원,3
656만,4
2725만,1
1227억,1
3000~4000명,2
1900년,1
1055년,1
1894년,1
SDV전환,1
876명,6
652명,3
313개,2
68개,3
20박스,8
221번지,1
89세,3
2310만,1
9352억,1
3605억,2
23.7개월,1
552만,2
592만,2
815건,3
441건,2
675건,2
158명,13
83건,18
스테이션3,1
60종,3
40도,4
32.1도,1
180종의,1
180여,5
0.5도,1
1126세대,1
6226세대,1
기흥역세권2,8
1900~2800세대,1
기흥역세권1,2
8000~9041세대,1
2000~3000세대,1
A구역,4
125일,1
730건,3
285회,1
96건,13
504건,8
680건,1
93건,7
700여점,1
30주기,3
404호,1
2007년도,2
87표,2
83표,2
22표,1
The경기패스,7
210건,2
541건,2
550건,3
256가구,1
561가구,2
427가구,3
16연패,1
510가구,1
417가구,4
301가구,11
1107가구,2
601가구,2
111곳,3
K-ECO팀,2
504명,4
548개,4
4479개,1
1965개,1
3478명,2
2009명,1
2694명,1
008건,1
842건,2
439만,4
263만,6
040만,1
4축,10
18영업일,2
88타,1
1라운딩,2
2홀,2
통제구역A,5
시즌6,1
블러드시티6,7
OBS라디오,1
900개,3
SK하이닉스가,1
IT업체들,1
3잔,2
14잔,1
SSG랜더스,3
RF필터,4
851표,4
1344명,2
1306명,1
1275명,1
1372명,9
1804명,2
2152명,2
2050명,5
1880명,4
1628명,4
1418명,4
49일,14
96개,10
UCC네트워크,3
TF등,1
1760억,14
2300여명,7
SK관계자,6
65조,4
650여명,7
5팀,27
AMT리서치,1
80조,6
3913가구,2
2718가구,4
2004가구,5
1175가구,3
2840가구,2
1331가구,2
27평,1
2017~2020년,4
631명,4
2541명,2
1655명,2
1649명,2
1458명,2
1699명,2
1339명,2
3813명,2
942명,2
5115명,2
9078명,2
1177명,4
423명,12
8128명,2
7698억,3
90가족,4
380만,12
390만,6
1400조,1
15개국,5
4566억,1
6375억,1
2030년대,2
1971년,8
361억,1
96곳,10
3~4석,1
29석,2
34석,1
33석,1
2선거구,2
298세대,6
132세대,6
3679표,6
3483표,6
2989표,6
2841표,6
2774표,6
2737표,5
2708표,5
2665표,5
2662표,5
2648표,5
475명,2
499명,9
418명,12
태광CC,54
5631건,4
65.4명,4
1.12평,1
TX-C노선,2
2800여세대,2
40그루,1
2시부,1
3027가구,3
115억,17
3944대,10
494억,7
1500대,8
115대,9
21시,13
79건,30
LF몰,5
55개소,2
5타,23
583야드,1
291점,3
70.80타,1
253.16야드,1
18언더,2
270타,2
60타,2
112번,3
548야드,1
78대,17
29일자,2
M급,2
31년,18
1언더,10
143타,1
이지현3,11
75타,1
132타,3
7타,8
133타,6
134타,4
137타,3
141타,3
35~54세,9
57~65세,7
25~39세,7
33.6세,8
31.1세,8
33.8세,8
0.936명,8
6.25전쟁,18
2미터,8
463억,7
319곳,7
308개,7
30면,12
39면,2
816면,1
26면,8
4면,14
76면,1
578곳,9
641곳,9
350여명,24
인구100,7
e편한세상구성역플랫폼시티,6
5000건,8
761건,2
A공,5
A누나,2
C누나,2
존X,4
1~2월,12
초250,1
초918,1
삼호1,1
삼호2,1
초18,1
초76,2
초96,1
초00,1
초63,1
초68,1
70점,20
024.38점,1
174만,16
4~10배,5
CJ제품,1
800톤,2
AI스타트업,3
10여일,6
TF위원들,1
37회,3
41회,5
TF단장,7
621명,31
929명,8
973명,6
419명,5
675명,6
2147억,4
1이제,1
2~8도,1
SK바이오센스,1
SK바이오하,1
6072명,6
2~3분기,1
용인9,6
61곳,4
781곳,1
71번지,18
605개,1
363개,1
376억,4
1468명,1
1665건,1
928건,3
414건,1
482만,14
518만,4
526건,2
541만,4
305건,3
KCC중앙연구소,4
800포,5
산121,1
6~9세기,7
6세기말,4
7세기,8
9~12단,7
6~7단,8
260명,16
79년,3
69세,6
구매MD,4
370곳,18
MS오피스,13
611명,6
2977만,7
190개,7
1697건,8
2691억,1
1283건,1
160개,15
3052곳,4
2600곳,3
5708만,4
HL한라,1
38층,15
2760여,4
4군데,3
828만,3
62건,18
3~4대,5
153명,24
63년도,2
2003년도,4
45분,18
수원IC,5
666원,1
288만,7
153개,9
129개,7
872만,22
96만,28
777명,5
8학군,1
84개,6
2.41점,1
97.69점,1
6포,1
332개,1
1.73일,1
4~5개월,2
17원,2
274건,10
자동7,4
수동4,5
991원,4
959명,7
524원,4
불당21,4
134길,4
60길,4
쇼케이스16,4
코너3,4
221번,4
1046회차,2
9400원,4
9950원,4
8곳가량,1
292곳,1
B양,48
792가구,2
후곡11,2
591가구,2
서오산TG,4
15종,10
44종,7
1329개체,1
373개,13
1310억,11
2370억,6
G사,20
D건설사,2
45번,11
A동,7
B동,6
초976,1
초879,2
초953,1
초938,1
최혜진2,1
H아파트,2
500여개,6
CS센터,5
1560번,8
5005번,9
5002번,8
3~7도,1
12도,4
7도,6
4도,13
투자360,3
1~28일,1
2509개,5
1441만,12
5.85종목,7
7688주,9
1424만,11
322억,8
638만,13
327만,13
743만,8
681만,8
399억,10
379만,14
33년,21
3차선,15
30세대,50
5517명,1
4992명,1
577명,5
KB손해보험,28
7구,1
13~14세기,1
545만,1
18형,1
FITI시험연구원,2
8글자,1
118조,5
34조,5
2400평,12
400조,22
SK스퀘어,4
2200장,1
27조,9
107조,5
9200평,1
3257억,1
87.05점,2
89.88점,1
84.63점,1
83.63점,1
82.52점,1
81.95점,2
광주2,5
192대,3
646대,3
038대,1
469개,1
225개,1
176조,1
138조,1
X선분석실,1
294명,8
2158대,3
1680대,3
478대,3
650만,19
100군데,2
348가구,5
62가구,14
154가구,15
1111개,1
913건,2
995건,2
973건,6
3676억,3
4137억,2
1673만,2
1660만,2
834건,4
3413억,2
895건,3
3929억,3
865건,4
3789억,2
348억,2
1619만,2
1078만,2
1344억,3
2374만,2
2905만,2
481억,2
163억,5
144억,9
590건,4
559건,2
2103억,2
1845억,2
1427만,2
143억,9
242명,11
ATM제조공장,1
106면,1
20여대,3
m가량,11
SNS글,3
13면,12
157곳,6
6101명,3
4045명,3
555만,15
150가구,30
845만,2
449명,4
375명,7
306명,11
207개,9
52건,14
236세대,3
1~12단지,4
1~4단지,8
12학급,5
35학급,4
294대,5
260여만,3
홈Bar,3
5256가구,4
9683원,2
115만,10
232만,9
168번,2
157번,8
97.64점,13
97.52점,13
96.12점,13
95.57점,13
94.90점,13
11~20위,16
97.73점,13
97.39점,12
96.63점,13
96.58점,12
96.04점,13
94.27점,13
92.81점,13
92.52점,13
92.41점,13
89.97점,13
2.74점,13
2.62점,13
2.56점,13
2.13점,13
0.91점,9
산11,1
GRC주유소,3
470개,5
1301명,1
1184번지,2
I동,1
II동,1
340실,1
1200억,42
540만,18
IT인프라,7
IT자원,5
1차원,5
6500여,1
26조,51
3300억,2
260조,2
1700여명,5
508번,11
506번,2
남2,5
U턴,5
25초,11
7025만,2
2859만,2
72층,2
41층,4
809.08대,5
44층,5
447실,2
44실,2
40~60명,1
3941만,1
923건,2
20평,8
A원외탕전실,7
B한약국,6
C한약방,6
25전쟁,10
R&D연구시설,1
질문1,15
질문2,15
질문3,15
질문4,14
질문5,14
질문6,14
질문7,14
질문8,13
질문9,8
질문10,2
질문11,1
619건,2
14~16시,1
1681본,3
5812만,3
12호실,4
4라운드,21
300야드,2
80도,1
5.38대,5
12.35대,3
9.53대,2
19.9대,3
506가구,1
4정,2
698가구,4
3413가구,2
744가구,1
2669실,1
95가구,16
248가구,9
94가구,40
51가구,7
700세트,1
100세트,4
3500세트,1
98곳,4
790여,2
794팀,13
814구,1
2700여,4
1~3구좌,1
814구좌,1
5000송,1
15.3일,1
6일대,4
66곳,19
161개소,1
92개소,1
66개소,2
12인실,1
6인실,2
5~10개,1
1~3주,1
911명,13
667명,9
150여개,11
1137억,12
6갈래,1
1966년,9
1530년,1
16구,1
238개,6
6~18세,3
2010~2012년,3
IT첨단산업단지,2
70조,5
20개월,6
안성FC,1
모현FC,1
290여,4
39배,2
72조,2
359배,1
396조,2
405가구,4
353가구,4
52가구,16
50마리,8
3~5명,15
중2-138호,2
소2-61호,2
925대,1
316대,1
843명,6
639명,12
581명,16
249명,5
3236명,9
3301명,9
454개소,17
424곳,13
1063곳,8
62개소,10
182개소,9
56개소,10
332개소,11
122개소,11
서울2,4
베스트3,5
736곳,3
5960명,5
5475명,3
153곳,5
102개,12
328만,11
324만,10
6084억,7
37분,10
4~9공구,10
1561명,3
1390명,1
1928명,3
1816명,3
1556명,5
1805명,2
44일,7
1023명,2
538명,10
263가구,7
398가구,6
272가구,6
4000곳,4
28차례,10
70~80년,6
699명,5
1565만,2
1435만,2
15형사부,3
1505억,1
3.8년,3
33가구,6
261억,10
파주1,4
1561억,21
1167억,9
958명,24
916명,11
3684명,4
144곳,5
360명,17
287명,7
457명,19
102만,21
266가구,1
130가구,4
20여일,24
5323명,19
112곳,12
신청접수10,1
1의,1
19~20일,7
526명,23
579명,8
SA등급,3
65점,7
F등급,1
4445명,5
688명,8
8583명,4
2700명,7
43기,3
340개,2
377억,12
638건,3
69건,14
2나노,22
3나노,12
673명,5
609명,2
301명,15
366명,6
759명,6
607명,5
654명,16
2100년,5
60개국,1
57위,2
2도,10
105개국,1
150개국,1
2~4개,7
SLX택배,8
TV광고,3
5편,11
930만,7
67억,26
9가구,8
4000여가구,3
GA코리아,26
27번,6
600여건,4
696건,5
400여건,3
000여건,1
898건,1
784건,1
893건,2
545건,3
071건,1
707건,1
169건,2
087건,1
968건,3
935건,3
635건,2
786건,3
428건,1
231건,4
790건,1
795건,8
204건,4
3~5월,6
5경기,1
15~17일,3
28~9월,1
24~26일,3
2차장,20
용인CC,8
000건,9
5611곳,2
1967억,2
667억,14
1342곳,2
A요양원,4
280곳,3
217곳,5
A도의원,1
B도의원,1
8구역,8
15블럭,9
1평온,1
2083억,5
8309호,4
3350호,4
902호,4
3단지,43
1핀,2
2핀,2
UN평화대상,2
780명,9
5펜스,3
20편,3
2000톤,2
6000톤,2
7팹,15
6팹,32
91억,28
129만,12
29살,4
2545명,1
4400여명,2
169개,3
253야드,1
보탬e,2
297만,4
159만,3
929가구,3
387명,7
869가구,3
82가구,4
693가구,7
653가구,10
2470만,1
3949명,2
1~2회,12
46회,6
13분대,9
4인용,6
채널A,30
13여,3
50잔,5
100잔,4
7500여명,3
2000여개,3
5859명,1
15~20년,2
3700여만,1
6~11월,2
B의원,10
250면,6
137만,10
854만,3
914억,1
296명,6
991만,3
993만,1
519만,8
645만,5
A중소기업,1
1958년,9
676명,7
548명,7
1340만,1
15블록,4
경인WIDE,1
29선언,1
5~6명,4
8군,2
BC카드망,9
977억,4
1299억,3
1817억,5
363억,7
26호,2
수원5,2
204곳,1
140곳,7
80대,53
313만,5
1723명,1
136명,20
17개소,7
40~60명대,1
198명,5
281명,14
225명,13
246명,7
172만,7
24조,17
3강,1
1달러,6
398개체,1
69마리,1
15시,4
714가구,4
1181대,4
120대,4
141대,3
1킬로미터,3
146만,9
50여편,1
53일,8
720억,3
1517억,5
697억,6
11개소,17
442건,3
618건,6
240개소,5
21개소,16
7553가구,1
532가구,2
1658만,10
3027만,10
2534억,10
1639억,10
700여편,1
50~60개,1
AR구현시스템,1
TV정원,2
TV왕관,1
VR오디션,1
96대,7
23대,8
2150만,2
530여,5
20배,10
1020~1023회,1
1018회,5
1019회,4
153만,10
83곳,13
95년도,1
982건,3
7065곳,1
934건,7
12~18세,2
25개월,5
37조,7
16조,13
30득점,1
T자형,3
1967만,3
2475만,3
508만,5
207원,1
1454원,3
30.57대,3
1914가구,4
2549가구,3
1116가구,5
1632가구,3
27호,1
서초IC,3
220여명,5
1848만,1
581건,4
290건,12
통상1600,1
76.2평,1
17마리,8
1866명,3
2100원,2
LPG부탄,4
38원,2
1750원,7
1700원,9
22시,11
PC방등,2
DRT서비스,1
1187만,5
PCB가공기,3
1042건,7
1730건,4
225건,5
1203건,9
719건,5
6300만,5
PC조립식,2
145건,4
278건,3
3417가구,1
2755가구,1
732가구,7
62살,1
소1-2호,5
AI반도체특위,2
75표,3
493명,7
손1,1
687표,1
461표,1
2450원,8
141번지,3
5108만,2
90여명,7
12가구,4
9.399점,1
9.033점,1
98표,3
4060만,1
3142명,1
2게임,16
6게임,1
530원,2
LG아트센터,16
17편,3
8공구,31
10공구,11
223개,19
5406개,9
2시민,8
1시민,3
534곳,2
5900만,1
AR체험관,2
1397명,2
3209명,2
4531억,8
28~29일,2
3159가구,4
4939가구,2
1957가구,7
63가구,2
144가구,5
431가구,3
1202가구,2
vs용인시,1
2023시즌,12
2시즌,5
20살,7
20204년,2
101번,5
20~40대,9
2886명,1
5~6배,5
40.8세,1
38.8세,8
20~30대,33
4475억,1
TV시스템,6
30톤,2
29면,7
1~4호,5
에이알247,23
6평,4
398마리,3
2~3중,1
방3,1
화2,1
4~5월,19
정규IC,5
미스트롯2,5
519평,1
590여,1
134억,6
852평,1
988만,3
382평,1
853평,1
106평,1
607평,1
69.90타,1
70.09타,1
40위,5
4승,15
산16-56,1
306건,5
257건,2
460건,2
25번,9
3형제,6
260포,1
195회,8
15평,6
37편,2
570억,11
340여,2
9권역,1
40번지,6
7029건,1
1475억,4
45~60일,1
오포JCT,8
131조,14
R&D시설,6
9775억,6
4782명,6
50가지,3
4~10월,5
4757만,2
970억,3
786억,3
447억,2
617억,3
663가구,6
535가구,5
40여일,19
7배,23
3400건,1
15도,22
6도,7
18도,14
aT센터,3
16:30시청,1
917개,7
645병상,7
81개,15
10차선,5
중1-70호,4
A사무국장,7
58세,4
17랩,8
118점,1
GH관계자,2
101~105동,1
5척,2
36주,4
383건,8
224건,8
4.5점,7
A매치,10
현대ENG,9
3027억,14
1205억,1
430가구,31
494가구,10
724점,5
7등급,8
2만천,1
48.7대,1
LV르웨스트,2
898만,2
239세대,1
45식,1
842실,1
268곳,4
490곳,2
263곳,2
1강,2
22득점,1
14득점,1
7득점,1
4연승,3
38.7도,3
7연패,2
31살,5
2교도소,1
1주차장,1
1순,10
650가구,4
90.28대,1
4364가구,5
1296가구,4
682호,1
CGV용인,9
1.25배,2
19세기,15
12~19도,1
1596.8원,1
9.8원,1
17주,2
3.9원,1
1546.2원,1
1부두,1
NC소프트,2
3테크노밸리,2
e편한세상태전,1
6580가구,5
4403가구,3
19층,32
1696가구,3
수성IC,3
동대구IC,2
경산IC,2
171억,3
4~9월,4
300~500세대,8
26.6톤,7
6.9톤,1
80배,3
600배,2
김은지PD,1
1628건,3
91년,1
000달러,2
K팝,9
1600건,5
6300여억,1
신원IC,4
987억,4
73호,1
195억,17
부동산PF,3
27번지,9
81번지,1
4013가구,1
PF금액,1
34도,18
5미터,5
8200억,4
358조,1
718조,1
754세대,6
5008세대,5
5848명,6
3070명,4
1142명,4
4219만,1
200권,3
2노조,4
3노조,3
4노조,3
5노조,2
19~64세,4
13~39세,5
C변호사,5
120여만,1
2244곳,6
1522곳,2
549곳,9
162건,11
989건,8
683건,1
571건,3
602건,4
449건,5
122건,8
713건,2
439건,7
894건,2
455건,2
607건,2
884건,3
652건,3
633건,2
495건,4
706건,2
237건,6
957건,5
721건,5
369건,6
016건,1
5432억,4
454곳,7
185곳,8
MK현장,14
스타투데이DB,11
572억,15
911평,1
503실,7
43개소,8
6265억,19
907억,13
2678억,13
3342억,12
233억,20
000여만,14
초등5,1
6학년부,2
대전비상FC,1
유성삼정FC,1
3인방,2
586선배,4
586용퇴,5
560여,3
649번지,1
산124-17번지,1
1277번지,1
1178번지,1
3600평,2
100가지,1
64개체,1
600~700원,1
100~200원,1
129곳,6
4~5일,10
hy중앙연구소,3
4계절,3
80~100개,1
2387억,5
2192억,4
3영업일,1
300~400명,5
1535명,2
1629명,3
951명,4
755건,3
8일부,1
E군,6
126대,1
국감2022,1
3680만,1
2020만,1
735가구,2
e편한세상강일어반브릿지,3
593가구,12
90가구,7
371가구,2
408가구,4
344가구,1
739가구,1
731가구,3
197억,18
104개,13
83개,14
동천2,6
489대로,1
904명,2
297명,9
44가구,7
50포,5
22가구,6
hy한국야쿠르트,1
92세,9
64.7명,3
35지구,6
1~19일,1
154건,3
1~20일,1
640건,1
726건,4
J리그,2
677만,3
2417가구,10
1~3블록,5
2904가구,3
1971가구,2
3구역,10
2763가구,2
2276가구,2
422곳,4
2정도,3
1~3호,5
134건,14
620여,1
226면,2
2851억,4
331명,4
MZ공무원,1
2800세대,1
300그루,1
100가정,1
2250개,3
1859개,4
EC랩장,4
34인치,1
톱100,1
톱5,12
977건,1
23인,5
1800건,1
2127원,1
1236원,1
10~15년,2
1~3상,1
4상,1
1483억,1
678억,4
663억,1
87조,2
5485만,1
2469번,5
GC녹십자의료재단,11
4절,2
2427억,1
175평,5
44조,5
영상issue,1
1273억,4
186개,14
260여명,8
3053가구,3
1089가구,5
1097가구,3
312가구,8
909건,12
474명,14
420번,2
429번,4
46번,2
421번,2
422번,3
373번,4
423번,3
424번,3
425번,2
426번,2
235번,1
427번,1
98분,3
3525억,2
900여만,3
2301곳,3
12물,2
8965대,2
2750원,3
2257명,3
211호,3
7계단,1
1.85점,3
647개,2
116곳,11
494번,3
431번,5
10.97개,1
2.62개,1
8.77개,1
13.96개,1
5.19개,1
2정,1
185도,3
마을버스48,3
마을버스59,3
SK네트웍스,9
3800채,2
6~8시,3
모델3,22
약69,2
KB금융,15
6367명,2
73.8명,3
11도,3
9도,8
737곳,3
8~15브릭스,2
8000년,2
5나,1
870여,1
9863곳,2
91회,1
160시간,2
160가족,1
수공예채널13,1
SK바이오팜,2
40여만,3
84곳,14
509번지,7
198번,9
1263건,2
5426건,3
941건,3
1545건,3
4760만,3
2~4차,2
광교1,3
4800억,5
KB주택가격동향,1
568만,5
248곳,6
12~15마리,8
280마리,6
76마리,4
중3,8
290명,13
재생e,3
201조,1
51.6원,1
21.1원,1
20여곳,7
50승,2
행정1,1
1083건,4
1204건,5
8693만,5
건설사CEO,1
1719명,1
톱2,2
18계단,1
4000가구,6
4082가구,2
4구역,2
5197가구,2
2371가구,4
870가구,4
268마리,1
967마리,1
44곳,21
25원,2
23시간,1
18가족,3
70~80대,1
5~6학년,7
2~4학년,3
88개,6
1898세대,7
p포인트,1
501명,2
222개,3
75대,6
16항,1
1천조,1
18발,1
19.7도,1
449점,3
6문제,2
150점,1
428~434점,1
406~411점,1
AI개발,1
61팀,1
4팀,8
5061건,3
3500여건,1
4~7년,2
823만,4
251명,6
919개,2
268개,4
458가구,4
1~3공단,1
355가구,6
4000여세대,1
460세대,1
4000세대,3
0.999명,1
1820명,6
4미터,3
1044가구,2
110여명,3
36통,8
A떡카페,1
B떡전문점,1
517곳,1
356개소,1
430건,1
189곳,12
SHE기획팀,1
295가구,5
170면,4
7466만,7
9579만,7
15초,15
6초,8
32초,8
36초,8
용인TG,7
MG희망나눔재단,8
150면,1
5~7기,1
750명,12
12~72시간,1
19개소,18
119조,6
849곳,2
B시,4
2428명,1
9483개,1
홍문1,1
8100만,2
769세대,1
249가구,2
769가구,4
663세대,1
104세대,1
110대,9
070대,2
243곳,5
15언더,8
151억,4
3515명,2
723개,3
사랑ing,1
SFG신화푸드그룹,4
176석,1
5896건,1
5730명,1
1018명,1
6224건,1
13세대,1
A물류,3
AV배우,3
38선,2
주성엔지니어링R&D센터,1
658번,1
1924년,4
1470여,1
9964세대,2
1963세대,6
1043세대,3
326세대,3
450세대,7
388세대,3
2.52명,6
14인,1
6단지,14
2220가구,1
A공인중개사,8
1463건,2
5689건,1
8301건,1
2236건,1
5734건,1
0.8포인트,1
780가구,2
1589가구,1
7722억,1
12.6대,4
도안2-2지구,2
330조,1
260여대,1
월100,4
1~5년,3
459만,1
43년,5
88년,2
3079개,2
1058개,2
158만,9
935대,6
540세대,6
288세대,5
725세대,6
231세대,6
151고지,2
30미터,1
432면,1
226곳,9
38번,11
36면,7
50면,6
569만,5
627만,3
2~3시간,11
140세대,3
161가구,5
112일,2
5693명,1
5629명,2
488만,2
6174명,1
3267억,9
3467억,9
8940억,9
2940억,9
1806억,7
303억,10
780만,3
393만,1
2022회계,17
18동,5
2척,6
1척,7
40세대,9
900세대,5
99곳,10
700곳,2
90척,4
68편,4
28편,3
147곳,2
298억,1
083원,1
2050원,3
150원,8
175원,2
3원,3
227만,6
A은행,1
2554만,1
212만,2
2991만,1
249만,5
365원,3
3394만,1
282만,1
경기도코로나19,1
50병상,2
14가구,17
25미터,1
유리소리TV,1
586가구,7
4~5급수,1
2~3급수,1
30개월,5
50여사,5
e공시,2
2000개,6
3000개,8
177만,6
98호,6
600번,3
621번,2
1810건,1
1826건,1
6078건,1
1146가구,1
3170억,2
535억,8
305억,2
LG스타,2
LG스팀식기세척기,2
1930년대,6
464평,1
43회,2
W컨셉,49
16강,38
15살,6
60위,5
38대,13
10.38대,2
2024학년도,14
Y드림댄스,5
39분,2
354개소,3
5795만,4
SK에코,1
1924억,8
3750개,1
4.0유통,2
물류외1,4
396억,2
95억,15
196건,10
995명,3
671명,6
644명,3
468건,2
화성2,1
파주3,3
양주1,2
평택4,2
고양5,1
3500평,5
667만,5
5842만,1
74억,19
26표,1
1표,9
20표,1
5표,2
6개국,6
8개국,7
7~11월,20
2.9배,2
1~5월,7
IT인재,2
A검사,5
2277억,7
2082억,3
4090억,3
2562억,3
9002억,3
797억,8
4252억,5
14시간,11
379곳,1
172가구,7
CB사,1
9500만,8
SY빌리지,1
B씨네,5
55여억,2
400곳,8
608명,5
923명,2
735명,5
738명,9
934명,6
909명,5
1247대,1
헌릉IC,2
2500명,3
5000톤,6
432만,4
다크X,5
화이트X,6
익스프레스199,2
4~5명,4
372곳,1
185개소,2
IT산업개발,1
4600가구,2
8996필지,5
726명,7
151만,12
803명,3
862명,7
791명,3
086명,1
866명,5
849명,3
7400대,7
282곳,1
2.11초,1
357면,9
13차례,19
380여명,1
27.6명,2
24.1명,1
312만,2
1790건,1
364건,3
7450건,1
881건,2
1739건,1
6825건,1
207건,4
PF주,3
1595개,1
20~24일,12
6~12개월,3
9995명,3
8271명,1
6076명,1
2195명,1
2916명,2
303명,10
1783명,2
5337명,1
719평,1
89대,8
45구,9
163.1시간,3
연예인일레븐FC,3
88축구단,3
0표,2
37기,1
180기,1
70기,1
110기,1
196대,3
173대,2
281점,1
378점,2
115일,3
82년,2
1964년,7
2남,3
26살,3
190여,9
192명,10
2금융,4
495번,1
14면,2
331억,2
6957억,1
13대,21
오산IC,8
1757필지,1
670여건,2
138필지,4
2634원,1
2328원,1
2014원,1
1500여마리,1
726만,7
644만,4
357만,3
660원,2
400원,15
1.65배,1
60원,2
2.75배,1
120원,1
70원,1
130원,1
140원,1
474만,6
877만,3
1016.9명,1
428대,1
LIG넥스원,22
17~26일,6
3146억,2
575명,10
SCL헬스케어,3
